Name	category	price	rating	review_count
D Motown Deli	Delis,Sandwiches	$	4.0	10
Harvey Lo’s Restaurant	Chinese		5.0	3
The Liquid Library	Pubs,American (Traditional)		5.0	1
Krusty’s Pizza	Pizza	$	5.0	6
White Castle	Fast Food,Burgers	$	4.0	11
Giovanni Caboto Pizza	Pizza	$$	5.0	2
Starter’s Bar and Grill	Sports Bars,American (Traditional)	$$	3.0	49
Terrace Cafe	Cafes	$	3.5	3
Panera Bread	Salad,Soup,Sandwiches	$$	2.5	8
Ho Wah Restaurant	Chinese,Seafood	$$	3.5	8
Roast ‘N Toast	Breakfast & Brunch,Diners	$	4.0	9
Somali Restaurant	African	$	4.5	5
Presto Gourmet Deli	Delis	$$	3.5	7
Luci and Ethel’s	Diners,Breakfast & Brunch	$	2.5	16
Ella Greek Grill	Mediterranean,Greek	$	4.5	3
Buddies Eatery & Tap	Pizza,Chicken Wings,Burgers		5.0	3
Chicago’s Pizza	Pizza	$	4.5	10
The McGregor Cowan House	Restaurants		5.0	1
Shawarma Palace	Mediterranean		4.5	4
Forty-Two Degrees North	American (Traditional)	$$	3.0	8
